t,x,y,z,diff_norm
9.8825,-7.177503788140506,-5.009254561143812,28.24722158976285,3.840717778613884e-06
9.885,-7.123766701430368,-4.993211508536623,28.148636542301936,3.8257603273706214e-06
9.887500000000001,-7.070982980955792,-4.978984826019276,28.049775457337287,3.8103179465625415e-06
9.89,-7.019173636989305,-4.966548244576319,27.95068778197943,3.794410042616168e-06
9.8925,-6.96835845210951,-4.955875126836038,27.851421546789627,3.778056980226819e-06
9.895,-6.918555981201239,-4.9469384670705026,27.75202336578017,3.761280022993169e-06
9.8975,-6.8697835868043855,-4.939710972718263,27.65253847850744,3.744095539940745e-06
9.9,-6.822058013020977,-4.93416661640524,27.553011473663766,3.7265144944608436e-06
9.9025,-6.7753945275525895,-4.930278930608291,27.453485322531662,3.7085679663417596e-06
9.905,-6.729807270747569,-4.928021302514159,27.354001713423333,3.690272604822002e-06
9.9075,-6.68530951102001,-4.927367486225526,27.254601343021648,3.671645869981824e-06
9.91,-6.641913644849876,-4.928291602761025,27.15532391638041,3.6527059450474733e-06
9.9125,-6.599631196782821,-4.930768140055225,27.056208146923947,3.6334716929694993e-06
9.915000000000001,-6.558472819430271,-4.934771952958647,26.95729175644732,3.613962595185039e-06
9.9175,-6.518448293469525,-4.940278263237744,26.85861147511653,3.5941986992781303e-06
9.92,-6.479566527643566,-4.947262659574921,26.760203041468092,3.5742005622408853e-06
9.9225,-6.4418355587611895,-4.955701097568525,26.66210120240934,3.5539892438164316e-06
9.925,-6.405262551696941,-4.965569899732853,26.564339713218253,3.5335862497090148e-06
9.9275,-6.36985379939122,-4.976845755498125,26.466951337543755,3.5130135104319887e-06
9.93,-6.33561472285013,-4.9895057212105245,26.3699678474053,3.492293379703078e-06
9.932500000000001,-6.302550351858305,-5.003527621577356,26.273420753578446,3.471428293054005e-06
9.935,-6.270665318900691,-5.018890280907884,26.177341260756762,3.4504518868372916e-06
9.9375,-6.239963091686493,-5.035572717977113,26.081759046076286,3.4293837023280335e-06
