t,theta,theta_dot
2.49,0.0059922738271,-0.3125152867574901
2.495,0.0044290250470346,-0.3127708741725379
2.5,0.0028646881819952,-0.3129497584449198
2.505,0.0012996484949427,-0.3130518943379546
2.51,-0.0002657091597925,-0.3130772557991393
2.515,-0.0018310003438881,-0.313025835955766
2.52,-0.00339584103503,-0.3128976471149219
2.525,-0.0049598476269124,-0.3126927207634891
2.53,-0.0065226369292376,-0.3124111075681449
2.535,-0.0080838261677159,-0.3120528773753617
2.54,-0.009643032984066,-0.3116181192114068
2.545,-0.0111998754360147,-0.3111069412823428
2.5500000000000003,-0.0127539719972972,-0.310519470974027
2.555,-0.0143049415576563,-0.3098558548521122
2.56,-0.0158524036510313,-0.3091162583267016
2.565,-0.0173959798593083,-0.3083008627100632
2.57,-0.0189352906780767,-0.3074098695486245
2.575,-0.0204699576266797,-0.3064434995227535
2.58,-0.0219996038473096,-0.3054019917595181
2.585,-0.0235238541050084,-0.3042856038326852
2.59,-0.0250423347876672,-0.3030946117627215
2.595,-0.0265546739060268,-0.3018293100167934
2.6,-0.0280605010936768,-0.3004900115087666
2.605,-0.0295594476070563,-0.2990770475992066
2.61,-0.0310511463254541,-0.2975907680953784
2.615,-0.0325352317510079,-0.2960315412512461
2.62,-0.0340113400373984,-0.2943997537277885
2.625,-0.0354791109149856,-0.2926958074574957
2.63,-0.0369381842235973,-0.2909201234677108
2.635,-0.0383882008273046,-0.2890731418848837
2.64,-0.0398288043814097,-0.2871553197877409
2.645,-0.0412596413324465,-0.2851671312072851
2.65,-0.0426803609181803,-0.2831090671267954
2.655,-0.0440906151676078,-0.2809816354818272
2.66,-0.0454900589009569,-0.2787853611602126
2.665,-0.0468783497296871,-0.27652078600206
2.67,-0.0482551480564894,-0.274188468799754
2.6750000000000003,-0.0496201170752862,-0.2717889852979557
2.68,-0.050972922771231,-0.2693229281936029
2.685,-0.052313233920709,-0.2667909071359095
2.69,-0.0536407224618818,-0.2641935477874409
2.695,-0.0549550651735416,-0.2615314862881704
2.7,-0.0562559388055837,-0.2588053807935968
2.705,-0.057543023254295,-0.2560159056980923
2.71,-0.0588160023431993,-0.2531637498720414
2.715,-0.0600745638230576,-0.2502496166618415
2.72,-0.0613183993718676,-0.2472742238899026
2.725,-0.0625472045948639,-0.2442383038546484
2.73,-0.063760679024518,-0.2411426033305148
2.735,-0.0649585261205383,-0.2379878835679506
2.74,-0.0661404532698705,-0.234774920293417
2.745,-0.0673061717866964,-0.2315045037093894
2.75,-0.0684553969124354,-0.2281774384943548
2.755,-0.0695878478157435,-0.2247945438028135
2.76,-0.0707032475925139,-0.2213566532652782
2.765,-0.0718013239924376,-0.2178646118217189
2.77,-0.0728818097438628,-0.2143192715066798
2.775,-0.0739444388499362,-0.2107215076319945
2.78,-0.0749889499573938,-0.2070722076122521
2.785,-0.0760150866227175,-0.2033722699444889
2.79,-0.0770225973121355,-0.1996226042081857
2.795,-0.0780112354016222,-0.1958241310652697
2.8000000000000003,-0.0789807591768981,-0.1919777822601136
2.805,-0.0799309318334298,-0.1880845006195368
2.81,-0.08086152147643,-0.1841452400528038
2.815,-0.0817723011208577,-0.180160965551625
2.82,-0.0826630486914181,-0.1761326531901572
2.825,-0.0835335470225623,-0.1720612901250019
2.83,-0.0843835838584875,-0.1679478745952083
2.835,-0.0852129518531375,-0.16379341592227
2.84,-0.0860214485821644,-0.1595989344154099
2.845,-0.0868088775678319,-0.1553654510426221
2.85,-0.0875750458836437,-0.1510940019099409
2.855,-0.0883197649702224,-0.1467856384912022
2.86,-0.089042851888042,-0.1424414192966901
2.865,-0.0897441293174273,-0.138062409873136
2.87,-0.0904234255585547,-0.1336496828037197
2.875,-0.0910805745314516,-0.1292043177080676
2.88,-0.0917154157759967,-0.124727401242254
2.885,-0.0923277944519202,-0.1202200270988002
2.89,-0.092917561338803,-0.1156832960066765
2.895,-0.0934845728360777,-0.1111183157312994
2.9,-0.0940286909630279,-0.1065262010745335
2.905,-0.0945497833587886,-0.1019080738746902
2.91,-0.0950477232823459,-0.0972650630065302
2.915,-0.0955223896125371,-0.09259830438126
2.92,-0.0959736667911357,-0.0879089395945014
2.9250000000000003,-0.0964014441802439,-0.083198109462958
2.93,-0.0968056166526101,-0.0784669679325548
2.935,-0.097186085054196,-0.073716673977071
2.94,-0.0975427561839091,-0.0689483896446329
2.945,-0.0978755427936028,-0.0641632800577138
2.95,-0.0981843635880762,-0.0593625134131335
2.955,-0.0984691432250743,-0.0545472609820602
2.96,-0.0987298123152878,-0.0497186971100077
2.965,-0.0989663074223535,-0.0448779992168371
2.97,-0.0991785710628538,-0.0400263477967562
2.975,-0.099366551706317,-0.0351649264183209
2.98,-0.0995302037752172,-0.0302949217244328
2.985,-0.0996694875928776,-0.0254175228652641
2.99,-0.0997843688398313,-0.0205339180113961
