t,i,omega
0.94,3.8199773481186208,26.32719903639124
0.942,3.818155970220388,26.398307520449183
0.944,3.816313486483756,26.469365133869537
0.946,3.8144500015282574,26.540371469608942
0.948,3.812565619723389,26.611326122563558
0.95,3.81066044518861,26.682228689569023
0.952,3.80873458179335,26.75307876940053
0.954,3.8067881331570006,26.82387596277276
0.956,3.80482120264892,26.894619872339906
0.958,3.802833893388432,26.965310102695664
0.96,3.8008263082448246,27.035946260373255
0.962,3.798798549837352,27.106527953845426
0.964,3.796750720535235,27.17705479352439
0.966,3.7946829224576577,27.247526391761912
0.968,3.7925952574737702,27.31794236284925
0.97,3.7904878272026896,27.38830232301717
0.972,3.788360733013496,27.458605890435965
0.974,3.786214076025237,27.528852685215423
0.976,3.784047957106924,27.599042329404845
0.978,3.781862476877535,27.66917444699305
0.98,3.779657735706013,27.739248663908374
0.982,3.7774338337112656,27.809264608018644
0.984,3.775190870762167,27.87922190913121
0.986,3.7729289464775566,27.949120198992937
0.988,3.7706481602262394,28.01895911129019
0.99,3.768348611126983,28.088738281648855
0.992,3.766030398048525,28.15845734763433
0.994,3.7636936196095663,28.22811594875151
0.996,3.761338374178772,28.29771372644481
0.998,3.7589647598747744,28.367250324098165
1.0,3.7565728745661695,28.436725387035004
1.002,3.754162815871522,28.50613856251828
1.004,3.7517346811593577,28.575489499750454
1.006,3.74928856754817,28.64477784987349
1.008,3.746824571906419,28.71400326596887
1.01,3.744342790852527,28.783165403057588
1.012,3.7418433207548847,28.85226391810015
1.014,3.739326257731847,28.921298469996568
1.016,3.736791697651733,28.990268719586364
1.018,3.73423973613283,29.05917432964858
1.02,3.731670468543388,29.12801496490176
1.022,3.729083990001624,29.196790292003968
1.024,3.72648039537572,29.265499979552764
1.026,3.723859779283823,29.33414369808523
1.028,3.721222236094046,29.402721120077967
1.03,3.7185678599244674,29.471231919947066
1.032,3.7158967446431306,29.53967577404815
1.034,3.7132089838680447,29.608052360676336
1.036,3.710504670967184,29.67636136006626
1.038,3.7077838990584886,29.744602454392076
1.04,3.705046761009864,29.812775327767437
1.042,3.702293349439179,29.8808796662455
1.044,3.699523756714272,29.948915157818966
1.046,3.696738074952944,30.01688149242001
1.048,3.693936396022961,30.084778361920343
1.05,3.6911188115420552,30.15260546013117
1.052,3.688285412877925,30.220362482803218
1.054,3.6854362911482337,30.28804912762672
1.056,3.682571537220609,30.355665094231423
