t,theta,theta_dot,KE,PE,E,E_minus_E0
5.1000000000000005,-0.09674911824248485,0.07914535480774398,0.003131993593821842,0.045876919924557905,0.04900891351837974,-2.2510418695720347e-07
5.105,-0.0963415622744408,0.0838736531816524,0.0035173948490180543,0.04549151905291193,0.04900891390192999,-2.2472063671008513e-07
5.11,-0.09591041558319936,0.08858147926193774,0.003923339234116553,0.045085575313645626,0.04900891454776218,-2.2407480452374395e-07
5.115,-0.09545578352307747,0.09326767974807278,0.004349430042794532,0.04465948524121907,0.049008915284013604,-2.2333855309586426e-07
5.12,-0.09497777709159975,0.09793110791098775,0.004795250948336763,0.04421366498121107,0.049008915929547835,-2.226930188656273e-07
5.125,-0.09447651292949841,0.1025706235930704,0.005260366412135665,0.043748549914194995,0.04900891632633066,-2.2229623604375082e-07
5.13,-0.09395211332071332,0.10718509320816606,0.005744322103021623,0.043264594261616884,0.049008916364638506,-2.2225792819380308e-07
5.135,-0.09340470619239201,0.11177338974157756,0.006246645327161298,0.042762270673857516,0.04900891600101882,-2.226215478837168e-07
5.14,-0.09283442511488964,0.11633439275006525,0.006766845468263218,0.04224206980071921,0.049008915268982434,-2.2335358426661678e-07
5.1450000000000005,-0.09224140930176888,0.12086698836184781,0.007304414437831527,0.04170449984454325,0.04900891428237478,-2.2434019192330013e-07
5.15,-0.09162580360980042,0.12537006927659908,0.007858827135209625,0.04115008609623443,0.04900891323144406,-2.2539112264075012e-07
5.155,-0.09098775853896222,0.1298425347654527,0.008429541917158898,0.04057937045439334,0.049008912371552235,-2.2625101446516194e-07
5.16,-0.09032743023244,0.13428329067099926,0.009016001076716037,0.03999291092787306,0.0490089120045891,-2.266179775986532e-07
5.165,-0.08964497952851085,0.13869125436822105,0.009617632019115297,0.039391280289311076,0.04900891230842637,-2.2631414033080777e-07
5.17,-0.08894057279637288,0.14306534757511877,0.010233846838394772,0.03877506630623694,0.04900891314463171,-2.2547793498972624e-07
5.175,-0.08821438262830354,0.1474044945586466,0.010864042508045037,0.038144871799693524,0.04900891430773856,-2.243148281427798e-07
5.18,-0.0874665867155185,0.15170762966284249,0.011507602448959082,0.03750131310090998,0.04900891554986907,-2.230726976332198e-07
