ic_index,t,v,iL
1,38.13666666666667,1.2677645540061595,-1.862158581618349
1,38.14,1.2759179820004265,-1.8579191220354252
1,38.14333333333334,1.2840401734423388,-1.8536525389117393
1,38.14666666666667,1.2921305505484435,-1.8493589366864351
1,38.150000000000006,1.3001885405706604,-1.8450384216752302
1,38.153333333333336,1.3082135757961433,-1.8406911020704892
1,38.156666666666666,1.316205093547401,-1.8363170879411588
1,38.160000000000004,1.324162536182245,-1.8319164912327963
1,38.163333333333334,1.3320853510937394,-1.8274894257675967
1,38.16666666666667,1.3399729907103188,-1.8230360072443277
1,38.17,1.3478249124956536,-1.8185563532384053
1,38.17333333333334,1.3556405789487849,-1.8140505832018172
1,38.17666666666667,1.3634194576039897,-1.8095188184631998
1,38.18,1.3711610210308982,-1.8049611822277707
1,38.18333333333334,1.3788647468344442,-1.8003777995773576
1,38.18666666666667,1.3865301176548142,-1.7957687974704273
1,38.190000000000005,1.3941566211675644,-1.791134304742018
1,38.193333333333335,1.4017437500834888,-1.7864744521038172
1,38.19666666666667,1.409291002148749,-1.7817893721440834
1,38.2,1.4167978801447458,-1.7770791993277242
1,38.20333333333333,1.4242638918882309,-1.772344069996228
1,38.20666666666667,1.4316885502312593,-1.7675841223676934
1,38.21,1.4390713730611415,-1.762799496536859
1,38.21333333333334,1.4464118833005546,-1.757990334475033
1,38.21666666666667,1.4537096089074155,-1.7531567800301753
1,38.220000000000006,1.4609641025663456,-1.7482989751131408
1,38.223333333333336,1.4681750137899696,-1.7434170486279301
1,38.22666666666667,1.475341929659043,-1.7385111484998612
1,38.230000000000004,1.4824644341010573,-1.7335814262355964
1,38.233333333333334,1.4895421210382753,-1.7286280341191382
1,38.23666666666667,1.496574594387839,-1.7236511252117555
1,38.24,1.503561468061648,-1.7186508533520677
1,38.24333333333333,1.5105023659664654,-1.713627373155971
1,38.24666666666667,1.517396922003871,-1.7085808400166695
1,38.25,1.5242447800702195,-1.7035114101047082
1,38.25333333333334,1.5310455940567416,-1.6984192403678975
1,38.25666666666667,1.537799027849428,-1.6933044885313993
1,38.260000000000005,1.544504755329145,-1.6881673130976405
