t,theta1,theta1_dot,theta2,E,E_minus_E0,abs_delta_theta2
15.675,-0.4338932013139129,-2.362849954609598,-0.9409287522966051,8.568823061789278,-3.0688997708032435,0.0007499852211194646
15.68,-0.4457252598320182,-2.36978560637995,-0.9466633878708364,8.568403133366317,-3.069319699226204,0.0006693734171177024
15.685,-0.4575891287480083,-2.3755800846975403,-0.95195488886414,8.567978575651276,-3.069744256941245,0.0005903260628566942
15.69,-0.46947913437752775,-2.3802370542598728,-0.9568103206452597,8.56754920743991,-3.070173625152611,0.0005128442136766997
15.695,-0.48138958523837877,-2.383757749679358,-0.9612371048956906,8.567113641074144,-3.0706091915183773,0.00043696373813717493
15.700000000000001,-0.49331480938737743,-2.3861409247951966,-0.9652430043041466,8.566671161155762,-3.0710516714367593,0.0003627400124965874
15.705,-0.5052491188215484,-2.3873830814375023,-0.9688361389441875,8.566221318276519,-3.0715015143160027,0.00029026393681452767
15.71,-0.5171867826731676,-2.3874783208715127,-0.9720250080227844,8.56576324469171,-3.071959587900812,0.0002196258506950155
15.715,-0.5291220272097321,-2.3864183437975868,-0.9748184898803094,8.565295985045914,-3.072426847546607,0.000150893507560812
15.72,-0.5410490358339944,-2.3841924503512057,-0.977225841990547,8.564818758372095,-3.0729040742204266,8.412939486057702e-05
15.725,-0.5529619490839288,-2.3807875401029777,-0.9792567009606842,8.564331150322866,-3.073391682269655,1.9371241763321834e-05
15.73,-0.5648548646327642,-2.3761881120586286,-0.9809210825313185,8.563833235556318,-3.073889597036203,4.33679808411469e-05
15.735000000000001,-0.576721786732176,-2.3703765851404337,-0.9822294206781109,8.56332530092642,-3.0743975316661007,0.00010406095868320531
15.74,-0.5885565844581173,-2.3633328518712986,-0.9831926275709547,8.562807011726836,-3.0749158208656855,0.00016260607494800183
15.745000000000001,-0.6003530391939449,-2.355034894237384,-0.9838220252794038,8.562278346726051,-3.07544448586647,0.00021889570484678877
15.75,-0.6121048159681933,-2.3454595616263116,-0.9841293462089659,8.56173973807717,-3.075983094515351,0.00027283098362995695
15.755,-0.6238054634269854,-2.334582571187065,-0.9841267331156218,8.561191868728622,-3.076530963863899,0.0003243914214731136
15.76,-0.6354484138339986,-2.3223785078300154,-0.9838267391058247,8.560635401512917,-3.0770874310796046,0.0003735624733703924
15.765,-0.6470269829425053,-2.3088210821374027,-0.9832423186407426,8.560070883880119,-3.0776519487124023,0.00042030761767641867
15.77,-0.6585343412380285,-2.2938843981362114,-0.9823868232225852,8.559499365971543,-3.078223466620978,0.00046457261241661385
15.775,-0.6699635038216455,-2.277542014794023,-0.9812740510381661,8.558921031504292,-3.078801801088229,0.000506235851723047
15.780000000000001,-0.6813073759092386,-2.2597692278873716,-0.9799181029074326,8.558336942687657,-3.0793858899048647,0.0005452416848202857
15.785,-0.6925587562208284,-2.240543400084216,-0.9783333658092764,8.557748767762646,-3.079974064829875,0.0005815601366702117
15.790000000000001,-0.703710336980585,-2.2198439609439213,-0.9765345128815323,8.55715818139089,-3.080564651201632,0.0006152656320420613
15.795,-0.7147547039185619,-2.1976524069600156,-0.9745365034162919,8.556566274825522,-3.081156557766999,0.0006463459829333384
15.8,-0.7256843721100666,-2.173953610013468,-0.9723544745778484,8.555974391223398,-3.0817484413691236,0.0006747764042093207
15.805,-0.736491750641992,-2.148736327709794,-0.9700037973682601,8.555383791839747,-3.0823390407527747,0.0007004635480442056
15.81,-0.747169200906031,-2.1219934345797387,-0.9674999591899601,8.554795572731766,-3.082927259860755,0.0007233629413058162
15.815,-0.7577091014027915,-2.0937230829916356,-0.9648584037408117,8.554211517821049,-3.0835113147714726,0.000743508717220065
15.82,-0.7681038477418262,-2.063928703151329,-0.9620945310141014,8.55363359147746,-3.084089241115061,0.000761033245981535
15.825000000000001,-0.7783458526416068,-2.0326190031022433,-0.9592236972985455,8.553063514670205,-3.0846593179223163,0.0007760660379758644
15.83,-0.7884275519534129,-1.999807961981612,-0.9562612013819172,8.552502469057263,-3.0852203635352584,0.0007885720104665594
15.835,-0.7983414961286439,-1.9655152696473073,-0.9532220682420994,8.551951859301939,-3.0857709732905825,0.000798567793752758
15.84,-0.8080803101001893,-1.9297669551939416,-0.9501211370800092,8.55141327328263,-3.086309559309891,0.0008060336982523841
15.845,-0.8176367830845221,-1.8925941649986657,-0.9469728737922934,8.550888062518732,-3.0868347700737893,0.00081108831954535
15.85,-0.8270038996202816,-1.8540329749252276,-0.9437913021172329,8.550377430974596,-3.0873454016179256,0.000813848340291301
15.855,-0.8361748395682999,-1.8141243903238655,-0.9405900036347349,8.549882502726541,-3.08784032986598,0.0008144893393200459
15.860000000000001,-0.8451429781115781,-1.7729143460314043,-0.9373821177663396,8.549404429626332,-3.0883184029661894,0.0008131165450349087
15.865,-0.853901913606668,-1.730452890382392,-0.93418028436376,8.548944214502749,-3.0887786180897727,0.0008097685338732674
15.870000000000001,-0.8624455270271209,-1.686793249973081,-0.9309965169878437,8.54850274449081,-3.089220088101712,0.0008045439513404418
15.875,-0.870767956498582,-1.6419920500170229,-0.9278422600024443,8.548081007666585,-3.089641824925936,0.0007975444181469449
15.88,-0.8788636382653935,-1.5961072493776887,-0.9247283095943251,8.547679438678994,-3.0900433939135272,0.0007889134247384133
15.885,-0.8867273079894236,-1.5491980910850538,-0.9216648111642793,8.547298240378396,-3.0904245922141254,0.0007787665257165122
15.89,-0.8943540007500896,-1.501325102335468,-0.9186612593271212,8.546937682579458,-3.0907851500130636,0.0007672342621130035
15.895,-0.9017390504783676,-1.4525498897717652,-0.9157265005830569,8.546598247755002,-3.0911245848375195,0.0007544390467040252
15.9,-0.9088780956091389,-1.4029330467288803,-0.9128687341549802,8.546279911513585,-3.0914429210789365,0.0007404940870463506
15.905000000000001,-0.9157670875420864,-1.352535015403761,-0.9100954864794014,8.545982854541304,-3.0917399780512174,0.0007255288945547944
15.91,-0.9224022639089917,-1.3014146697913065,-0.9074136823025735,8.545706929865553,-3.0920159027269687,0.0007096284039732614
15.915000000000001,-0.928780145206786,-1.24962890911364,-0.9048296551648921,8.54545170771759,-3.092271124874932,0.000692884128668303
15.92,-0.9348975347975336,-1.197232657820237,-0.9023491474009036,8.54521667706098,-3.0925061555315416,0.0006753337170735119
15.925,-0.9407515189084495,-1.1442788655877765,-0.899977310139296,8.545001397318591,-3.09272143527393,0.0006570791378107677
15.93,-0.9463394558637448,-1.0908183971849685,-0.8977187293387903,8.544805526100056,-3.092917306492465,0.0006382823030517404
15.935,-0.9516589229409044,-1.0368990517597223,-0.8955775545107718,8.544628368960943,-3.0930944636315783,0.0006190363458786763
15.94,-0.9567077568529846,-0.9825658764469083,-0.8935574002313189,8.544469254185694,-3.093253578406827,0.0005994641082631702
15.945,-0.9614839938333245,-0.9278612521556773,-0.8916614900849722,8.544327413688091,-3.0933954189044304,0.0005795742521238489
15.950000000000001,-0.9659858606914892,-0.8728248482851949,-0.8898926782427868,8.54420198493222,-3.093520847660301,0.0005593696517444124
15.955,-0.9702117748132755,-0.8174936227245829,-0.8882534494623301,8.544092053046699,-3.0936307795458227,0.0005388787956731589
15.96,-0.9741603441607161,-0.7619018218528606,-0.8867459190876793,8.54399668856978,-3.0937261440227406,0.0005181293208939008
15.965,-0.9778303672720692,-0.7060809805390821,-0.8853718330494266,8.543914985113208,-3.0938078474793134,0.0004972402862460923
