t,i,omega,v,E,E_minus_E0
1.739,1.6817057303826761,46.252321169251616,6.0,2.846310754444084,2.846310754444084
1.7395,1.681567260800916,46.254419035771065,6.0,2.846388393486075,2.846388393486075
1.74,1.6814289422653514,46.256513778084624,6.0,2.846465888874027,2.846465888874027
1.7405,1.6812907746583903,46.25860540001237,6.0,2.8465432407919065,2.8465432407919065
1.741,1.6811527578624823,46.26069390537097,6.0,2.8466204494235843,2.8466204494235843
1.7415,1.6810148917601209,46.26277929797364,6.0,2.8466975149528406,2.8466975149528406
1.742,1.6808771762338406,46.264861581630136,6.0,2.8467744375633584,2.8467744375633584
1.7425,1.6807396111662194,46.2669407601468,6.0,2.846851217438727,2.846851217438727
1.743,1.6806021964398776,46.26901683732654,6.0,2.846927854762442,2.846927854762442
1.7435,1.6804649319374783,46.2710898169688,6.0,2.847004349717902,2.847004349717902
1.744,1.6803278175417264,46.2731597028696,6.0,2.8470807024884106,2.8470807024884106
1.7445,1.6801908531353698,46.27522649882151,6.0,2.847156913257173,2.847156913257173
1.745,1.680054038601199,46.27729020861368,6.0,2.8472329822073017,2.8472329822073017
1.7455,1.6799173738220472,46.27935083603179,6.0,2.847308909521807,2.847308909521807
1.746,1.6797808586807894,46.28140838485812,6.0,2.847384695383608,2.847384695383608
1.7465,1.6796444930603438,46.28346285887147,6.0,2.847460339975519,2.847460339975519
1.747,1.6795082768436709,46.285514261847226,6.0,2.8475358434802622,2.8475358434802622
1.7475,1.6793722099137738,46.28756259755733,6.0,2.8476112060804564,2.8476112060804564
1.748,1.679236292153698,46.289607869770286,6.0,2.8476864279586245,2.8476864279586245
1.7485,1.6791005234465317,46.291650082251145,6.0,2.847761509297187,2.847761509297187
1.749,1.6789649036754053,46.29368923876153,6.0,2.8478364502784657,2.8478364502784657
1.7495,1.678829432723492,46.29572534305963,6.0,2.8479112510846845,2.8479112510846845
1.75,1.6786941104740079,46.29775839890018,6.0,2.8479859118979625,2.8479859118979625
1.7505,1.6785589368102107,46.29978841003448,6.0,2.84806043290032,2.84806043290032
1.7510000000000001,1.6784239116154014,46.30181538021041,6.0,2.848134814273675,2.848134814273675
1.7515,1.6782890347729233,46.30383931317237,6.0,2.8482090561998445,2.8482090561998445
