t,x,y,z,delta_norm
1.44,-9.026261836618712,-10.330269679534165,25.90727842131843,1.3491798808964791e-08
1.445,-9.090871892286975,-10.370539454969432,26.029861019565853,1.3606293041093231e-08
1.45,-9.15416707320324,-10.405599768845383,26.155814852087566,1.3706805273624879e-08
1.455,-9.21595110340141,-10.435236301734475,26.284802736926668,1.3792887565761812e-08
1.46,-9.276028714768534,-10.459252762069836,26.416468210939648,1.3864091449737977e-08
1.465,-9.334205647044826,-10.477470886145259,26.550435529796466,1.3919976557392715e-08
1.47,-9.390288647823644,-10.489730438115206,26.686309667980474,1.3960126592305923e-08
1.475,-9.444085907853209,-10.495889902950742,26.823677231766258,1.3984453389855583e-08
1.48,-9.49540922359559,-10.49583198210215,26.96211139792206,1.399268966339528e-08
1.485,-9.544070920470588,-10.4894603335324,27.101164905909172,1.3984846764522993e-08
1.49,-9.589890070072213,-10.476706125692088,27.240381577444616,1.3961512996698343e-08
1.495,-9.632693574055294,-10.457529427619244,27.37929847449823,1.3923276262203494e-08
1.5,-9.67231616413546,-10.431919208939334,27.51744589929261,1.387072350156326e-08
1.5050000000000001,-9.70860040208915,-10.399893339865255,27.65434739430317,1.3804424267733162e-08
1.51,-9.741397717177442,-10.361498789677318,27.789523484431705,1.3725603248475964e-08
1.5150000000000001,-9.770569032480672,-10.316813504821072,27.922495591541733,1.363478441908704e-08
1.52,-9.795984664107957,-10.265946514072457,28.052782677202625,1.353344260583594e-08
1.5250000000000001,-9.817529130664514,-10.209037285562216,28.17991526652118,1.3423318752481191e-08
1.53,-9.835101327200409,-10.146255720392569,28.30343600886344,1.3306053043966864e-08
1.5350000000000001,-9.84861452521056,-10.077802152637185,28.42289967785469,1.3183217943846462e-08
1.54,-9.857996381960232,-10.003907288003548,28.537873256486638,1.305639057902679e-08
1.545,-9.863189549898168,-9.924827161131097,28.64794338748807,1.2927730257545379e-08
1.55,-9.864151266904003,-9.840847348079985,28.752712248895886,1.2798504637822592e-08
1.555,-9.860855447319635,-9.752277570079531,28.85180497167882,1.2671088971381275e-08
1.56,-9.853293572655165,-9.659447147488217,28.944875789120115,1.2547635083667825e-08
1.565,-9.841474691588887,-9.562704999793702,29.031608036817467,1.2430035599557506e-08
1.57,-9.825425419967297,-9.462419645612801,29.11171415268307,1.231986707564228e-08
1.575,-9.805189648025333,-9.358977784356512,29.18493602563387,1.22187786320324e-08
1.58,-9.780826585187121,-9.252774444695188,29.251047228416677,1.2128114457714015e-08
1.585,-9.752413146169777,-9.144220411924413,29.309851901741386,1.204900696011322e-08
1.59,-9.720042087883504,-9.033730108294876,29.361188847749293,1.1982779353558538e-08
1.595,-9.683821534284908,-8.921719147285728,29.404932203717618,1.1930307072266487e-08
1.6,-9.643874976376983,-8.808604333604569,29.440991442059506,1.1891977361107345e-08
1.605,-9.600341272209132,-8.69480366318746,29.46931137032402,1.186767352513621e-08
1.61,-9.55337247321462,-8.580731445162373,29.48986943278578,1.1857540577747556e-08
1.615,-9.503132715769897,-8.466794082879986,29.502673262474225,1.186074034194641e-08
1.62,-9.449798913538338,-8.353391146521219,29.507763176374187,1.187679221957221e-08
1.625,-9.393556985344226,-8.240907634145321,29.505208792683,1.1904934484991137e-08
1.6300000000000001,-9.33460181957158,-8.129713896573051,29.495108992624157,1.1944047876908237e-08
1.635,-9.273137274164165,-8.020165637386715,29.477591920447317,1.199268203967249e-08
1.6400000000000001,-9.209375057226092,-7.912602862926651,29.45281273685792,1.2049463729917986e-08
1.645,-9.14353174050029,-7.807346576425869,29.420946273689477,1.2112762551288672e-08
1.6500000000000001,-9.0758301540739,-7.704699886823975,29.38219126324205,1.2181079678626957e-08
1.655,-9.006494977076457,-7.6049443314921445,29.336764047699756,1.2253013973225795e-08
