t,v,iL
17.255,0.6535766566636998,2.4905847794824636
17.26,0.6467009449095192,2.4938354547093327
17.265,0.6397688898756609,2.4970515987295965
17.27,0.6327797183638723,2.5002329346103203
17.275000000000002,0.6257326444908429,2.503379180460624
17.28,0.6186268696882203,2.506490049431678
17.285,0.6114615827025796,2.509565249716715
17.29,0.6042359595954432,2.5126044845510203
17.295,0.5969491637432712,2.5156074522119374
17.3,0.5896003458374818,2.5185738460188603
17.305,0.5821886438844202,2.5215033543332446
17.31,0.5747131832053793,2.524395660558599
17.315,0.5671730764365897,2.5272504431404914
17.32,0.55956742352924,2.5300673755665377
17.325,0.551895311749446,2.532846126366418
17.330000000000002,0.5441558156782652,2.5355863591118655
17.335,0.5363479972117151,2.5382877324166655
17.34,0.5284709055607386,2.540949899936664
17.345,0.520523577251227,2.5435725103697613
17.35,0.5125050361240084,2.5461552074559153
17.355,0.5044142933348709,2.548697629977134
17.36,0.49625034735452767,2.5511994117574863
17.365000000000002,0.48801218396863455,2.553660181663098
17.37,0.4796987762778075,2.556079563602145
17.375,0.4713090846975877,2.558457176524864
17.38,0.46284205695846453,2.560792634423546
17.385,0.4542966281058641,2.563085546332539
17.39,0.44567172050017306,2.565335516328243
17.395,0.4369662438167029,2.5675421435291175
17.400000000000002,0.42817909504570706,2.569705022095679
17.405,0.41930915849240064,2.5718237412304945
17.41,0.41035530577692264,2.5738978851781913
17.415,0.40131639583436063,2.575927033225451
17.42,0.3921912749147385,2.577910759701013
17.425,0.3829787765830421,2.5798486339756677
17.43,0.3736777217191806,2.581740220462266
17.435,0.3642869185180121,2.5835850786157137
17.44,0.35480516248933064,2.585382762932972
17.445,0.34523123645789294,2.587132822953056
17.45,0.33556391056337825,2.588834803257039
17.455000000000002,0.3258019438873088,2.59048824307564
17.46,0.3159441853710061,2.59209264798927
17.465,0.3059894137351347,2.5936475211807015
17.47,0.2959363384487474,2.595152374363675
17.475,0.2857836716406784,2.596606712883046
17.48,0.27553012809957256,2.5980100357147804
17.485,0.26517442527384166,2.599361835465963
