t,theta1,theta1_dot,theta2,theta2_dot
11.3825,-0.0310805291760084,1.1446788730281825,-0.1286896556236856,3.2987224467800256
11.385,-0.0282246139203367,1.1400881898269035,-0.1204278542508986,3.3106116938791
11.3875,-0.0253799227507866,1.1357029990728469,-0.1121371165118973,3.3218652583576787
11.39,-0.022545932776212,1.1315293734673446,-0.1038190476229534,3.3324726400655647
11.3925,-0.0197221034862928,1.1275732187828995,-0.0954752834364426,3.3424236457617726
11.395,-0.0169078829312608,1.1238400957471106,-0.087107479400299,3.351708684708613
11.3975,-0.0141027077218955,1.1203352200426664,-0.0787173105580037,3.3603187686717018
11.4,-0.0113060030295321,1.1170634623073563,-0.0703064715486088,3.36824551191994
11.4025,-0.0085171825860499,1.1140293481340549,-0.0618766766067011,3.375481131225547
11.405,-0.0057356486838797,1.1112370580707318,-0.0534296595624265,3.38201844586404
11.4075,-0.0029607921760001,1.108690427620448,-0.0449671738414776,3.38785087761424
11.41,-0.0001919924759457,1.1063929472413618,-0.036490992465118,3.3929724507582577
11.4125,0.0025713775964646,1.1043477150475796,-0.0280028996353273,3.3973778716324023
11.415,0.005329947909855,1.1025573393434074,-0.0195046843738215,3.401062688108243
11.4175,0.008084365023941,1.1010240779225362,-0.0109981648241279,3.404023056725048
11.42,0.0108352771721435,1.0997497506666478,-0.0024851617564752,3.4062558948613693
11.4225,0.0135833334883211,1.0987357335730878,0.0060325027860992,3.4077588909104004
11.425,0.0163291840067738,1.0979829587548653,0.0145530054877614,3.4085305042799714
11.4275,0.0190734796622351,1.0974919144406536,0.0230745217598569,3.408569965392552
11.43,0.0218168722898835,1.0972626449747884,0.0315952257409464,3.407877275685252
11.4325,0.0245600146253373,1.0972947508172688,0.0401132902967881,3.4064532076098204
11.435,0.027303560304648,1.0975873885437577,0.0486268870203197,3.404299304632649
11.4375,0.0300481631118212,1.098139275614723,0.0571341875310123,3.401417872798869
11.44,0.0327944653816674,1.0989487412810075,0.0656333832270878,3.397811886962483
11.4425,0.0355431109257903,1.1000136148032698,0.0741226626661234,3.393485185342939
11.445,0.0382947381960371,1.1013313118598724,0.0826002239592657,3.388442325854306
11.4475,0.0410499760533629,1.10289886782488,0.0910642821605938,3.382688528470308
11.45,0.0438094437678247,1.1047129377680565,0.0995130692671014,3.3762296752243253
11.4525,0.0465737510185755,1.1067697964548624,0.1079448342186783,3.369072310209415
11.455,0.0493434978938763,1.1090653383464606,0.1163578428981469,3.361223639578281
11.4575,0.052119274891088,1.111595077599712,0.1247503781312379,3.352691531543293
11.46,0.0549016629166753,1.1143541480671797,0.1331207396866025,3.343484516376475
11.4625,0.0576912286936442,1.1173374130221323,0.1414672523956562,3.3336115999427687
11.465,0.060488523824027,1.120539455587268,0.1497882670354608,3.3230822739191104
11.4675,0.063294092113023,1.1239544116741604,0.158082147489314,3.311906801793428
11.47,0.0661084604481197,1.1275762125983264,0.1663472874314383,3.300095811527072
11.4725,0.0689321386207147,1.1313985895964689,0.174582110648247,3.287660287928557
11.475,0.0717656193261276,1.1354150738264923,0.1827850710383792,3.274611572653514
11.4775,0.0746093781635943,1.1396189963674956,0.1909546526126826,3.2609613642047126
11.48,0.0774638736362607,1.1440034882197625,0.1990893694941959,3.246721717932091
11.4825,0.0803295471511948,1.1485614803047788,0.2071877659181834,3.2319050460326992
11.485,0.0832068230193786,1.1532857034652224,0.2152484162321121,3.2165241175507364
