t,theta1_A,theta1_dot_A,theta2_A,theta2_dot_A,theta1_B,theta1_dot_B,theta2_B,theta2_dot_B,diff_norm,E,E_minus_E0
0.1975,0.5536998069782879,-1.3566779768640715,0.7318966123046369,0.10463252966670598,0.5543514205064921,-1.35982766129375,0.7324065025646908,0.10900679215386214,0.005453372587723821,4.613796215003514,-7.047482153410556e-08
0.2,0.5502945161614575,-1.3675125774328283,0.7321459847240848,0.0947881244603227,0.5509382327776311,-1.370680082879627,0.732666821306614,0.09917009894342635,0.00546995730821641,4.613796203249855,-8.222848091321566e-08
0.2025,0.5468624163829908,-1.3781265978063273,0.7323702567946866,0.0845560782541373,0.5474981924568558,-1.3813110727313673,0.7329020568900765,0.08894382670081813,0.0054845455178268564,4.613796203772751,-8.170558452036403e-08
0.20500000000000002,0.5434040611138402,-1.388519147100692,0.7325684561698406,0.07393549307078236,0.5440318552679155,-1.3917197408705906,0.7331112318115354,0.07832707338560346,0.005497136439870018,4.613796217329557,-6.814877906435868e-08
0.20750000000000002,0.5399200051177999,-1.3986894212198635,0.7327396105432765,0.0629256867024767,0.5405397781899919,-1.4019052847240463,0.7332933686863626,0.06731915440835304,0.005507731230022177,4.613796240626984,-4.4851351965746744e-08
0.21,0.5364108044515055,-1.4086367028556004,0.7328827476490547,0.051526192711025515,0.5370225194576991,-1.4118669891236144,0.7334474902488443,0.05591960263064234,0.005516332980153306,4.613796267672894,-1.7805441565599267e-08
0.2125,0.5328770164644339,-1.4183603614874787,0.732996895261567,0.039736760427819956,0.533480638561084,-1.4216042263063045,0.733572619352181,0.04412816836505119,0.005522946722363946,4.613796291224537,5.746200848477656e-09
0.215,0.5293191997989035,-1.4278598533828917,0.7330810811955359,0.027557354953837584,0.5299146962456259,-1.4311164559142562,0.7336677789684877,0.0319448193751644,0.005527579433218836,4.613796304327616,1.8849280358779197e-08
0.2175,0.5257379143900744,-1.43713472159705,0.7331343333060153,0.014988157159642343,0.5263252545122369,-1.4404032249947394,0.7337319921887936,0.019369740875571403,0.005530240038159934,4.613796301939668,1.6461331853179217e-08
0.22,0.5221337214659482,-1.446184595972982,0.7331556794883898,0.0020295636853842614,0.5227128766172614,-1.4494641680001537,0.7337642822230426,0.006403335531866269,0.00553093941608521,4.613796282630346,-2.847990288046276e-09
0.2225,0.5185071835473677,-1.4550091931415328,0.7331441476783752,-0.01131781305920028,0.5190781270724764,-1.4582990067880286,0.7337636724000927,-0.006953776539352252,0.005529690404075085,4.613796250350174,-3.5128161712805195e-08
0.225,0.5148588644480174,-1.4636083165213656,0.7330987658520186,-0.025053144894788784,0.5154215716450915,-1.466907550621024,0.7337291861677163,-0.020700757770480666,0.005526507802245086,4.613796216258554,-6.921978190632672e-08
